doc_id,frames
1,Advocacy for Smokers' Rights
2,Security Frame
3,Anti-noncitizen voting frame
4,Regulatory Compliance Frame
5,Immigration and Family Separation Frame
6,Economic Optimism Frame
7,Justice frame
8,Legislative Action Frame
9,Labor Rights Frame
10,Political maneuvering and influence of religious groups
11,Conflict and Compliance
12,Civil Rights and Justice
13,**New Frame Assigned: Definition and Scope of Small Business Ownership**
14,**New Frame: Celebration of Immigration and Citizenship**
15,**New Frame Assigned: Climate Impact and Weather Extremes**
16,**New Frame Assigned: Driving License Policies and Access Issues**
17,Regulatory Compliance and Public Policy
18,24. **New Frame Assigned: Symbolic and Personal Relationship Celebration Frame**
19,5. Legislative Debate Frame
20,2. Smoking Ban Advocacy Frame
21,But there are signs next year could be too soon for another fight on this volatile and exhausting issue.
22,Advocacy for Smoking Policies
23,Political and Legislative Advocacy
24,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
25,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
26,Evaluation of Social Issues
27,**New Frame Assigned: Cultural and Historical Significance of Tobacco Production**
28,8. Concern for Economic Impact Frame
29,Regulatory Compliance and Public Health Advocacy
30,Civil Rights Advocacy
31,Legislative and Political Actions
32,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
33,**New Frame Assigned: Food Assistance Program Integrity Issues**
34,**New Frame Assigned: Experience of Uncertainty and Lack of Awareness**
35,12. Civil Rights and Equality Frame
36,Economic Impact and Optimism
37,**New Frame Assigned: Culture Wars and Family Policy Conflicts**
38,**New Frame Assigned: Tragedy and Personal Loss in Leadership**
39,**New Frame Assigned: Uncertainty in Understanding Job Seekers**
40,**New Frame Assigned: Passenger Rights and Airline Accountability**
41,**New Frame Assigned: Economic Impact of Manufacturing Locations**
42,Smoking Policy Advocacy and Regulation
43,Social Issues Evaluation
44,**New Frame Assigned: Contextual Understanding of McLean**
45,**New Frame Assigned: Experience of Asian-American Job Seekers**
46,**New Frame Assigned: Immigration Context and Criminal Activity**
47,**New Frame Assigned: Personal Health and Lifestyle Choices**
48,**New Frame Assigned: Emotional Impact and Human Experience**
49,Civil Rights and Social Justice
50,Legislative Actions and Political Advocacy
51,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
52,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
53,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
54,**New Frame Assigned: Immigration Context and Economic Contributions**
55,**New Frame Assigned: Nontraditional Dynamics in Electoral Races**
56,**New Frame Assigned: Celebration of Immigration and Citizenship**
57,Smoking Policy Advocacy
58,Regulatory Compliance and Public Health
59,**New Frame Assigned: Need for Accountability and Enforcement**
60,New Frame Assigned: Federalism and Constitutional Principles
61,Immigration Context and Criminal Activity
62,12. Civil Rights and Justice
