doc_id,frames
1,Security Frame
2,Justice frame
3,Labor Rights Frame
4,Political maneuvering and influence of religious groups
5,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
6,Conflict and Compliance
7,Evaluation of Social Issues
8,Legislative and Political Actions
9,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
10,Economic Impact and Optimism
11,Smoking Policy Advocacy and Regulation
12,Social Issues Evaluation
13,12. Civil Rights and Justice
14,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
15,Legislative and Political Advocacy
16,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
17,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
18,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
19,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
20,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
21,Immigration and Family Separation
22,Economic Impact of Regulations
23,Social Justice and Civil Rights
24,Economic Impact and Social Justice
25,Civil Rights and Policy Advocacy
26,Immigration and Economic Engagement
27,Political and Legislative Advocacy
28,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
29,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
30,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
31,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
32,Social Justice and Economic Impact
33,Immigration Issues and Family Dynamics
34,Health Policy and Tobacco Regulation
35,New frame: Reflection on Personal and Familial Economic Progress
36,"New frame assigned to segment: ""Health Awareness and Resilience"""
37,Minority Rights and Advocacy
38,Economic Impact and Justice
39,Immigration and Social Dynamics
40,4. Political maneuvering and influence of religious groups
41,"New frame assigned to segment: ""Culinary Trends and Health Awareness"""
42,7. Legislative and Political Actions
