doc_id,frames
1,Advocacy for Smokers' Rights
2,Historical Justice Frame
3,Security Frame
4,Anti-noncitizen voting frame
5,Regulatory Compliance Frame
6,Immigration and Family Separation Frame
7,Economic Optimism Frame
8,Concern for Economic Impact Frame
9,Justice frame
10,Legislative Action Frame
11,Labor Rights Frame
12,Political maneuvering and influence of religious groups
13,Civil Rights and Equality Frame
14,Political and Legislative Actions
15,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
16,Economic Impact Concerns
17,Family Separation and Immigration Issues
18,Conflict and Compliance
19,Civil Rights and Justice
20,**New Frame Assigned: Definition and Scope of Small Business Ownership**
21,**New Frame: Celebration of Immigration and Citizenship**
22,**New Frame Assigned: Legal Proceedings and Immigration Compliance**
23,**New Frame Assigned: Climate Impact and Weather Extremes**
24,**New Frame Assigned: Driving License Policies and Access Issues**
25,Smoking Policy Advocacy
26,Family Separation and Immigration Policy
27,Political Influence and Advocacy
28,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
29,Regulatory Compliance and Public Policy
30,New Frame Assigned: Evaluation of Employment Dynamics and Societal Values
31,24. **New Frame Assigned: Symbolic and Personal Relationship Celebration Frame**
32,5. Legislative Debate Frame
33,2. Smoking Ban Advocacy Frame
34,But there are signs next year could be too soon for another fight on this volatile and exhausting issue.
35,28. Legislative Actions on Immigration and Voting
36,Advocacy for Smoking Policies
37,Political and Legislative Advocacy
38,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
39,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
40,Economic Concerns and Impact
41,Family Separation and Immigration Context
42,Civil Rights and Justice Advocacy
43,Regulatory Compliance and Advocacy
44,Evaluation of Social Issues
45,21. **New Frame Assigned: Legal Proceedings and Immigration Compliance**
46,34. Political and Legislative Advocacy
47,28. Evaluation of Employment Dynamics and Societal Values
48,**New Frame Assigned: Cultural and Historical Significance of Tobacco Production**
49,8. Concern for Economic Impact Frame
