doc_id,frames
1,Advocacy for Smokers' Rights
2,Historical Justice Frame
3,Security Frame
4,Anti-noncitizen voting frame
5,Regulatory Compliance Frame
6,Immigration and Family Separation Frame
7,Economic Optimism Frame
8,Justice frame
9,Legislative Action Frame
10,Labor Rights Frame
11,Political maneuvering and influence of religious groups
12,Political and Legislative Actions
13,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
14,Conflict and Compliance
15,Civil Rights and Justice
16,**New Frame Assigned: Definition and Scope of Small Business Ownership**
17,**New Frame: Celebration of Immigration and Citizenship**
18,**New Frame Assigned: Climate Impact and Weather Extremes**
19,**New Frame Assigned: Driving License Policies and Access Issues**
20,Smoking Policy Advocacy
21,Regulatory Compliance and Public Policy
22,24. **New Frame Assigned: Symbolic and Personal Relationship Celebration Frame**
23,5. Legislative Debate Frame
24,2. Smoking Ban Advocacy Frame
25,But there are signs next year could be too soon for another fight on this volatile and exhausting issue.
26,Advocacy for Smoking Policies
27,Political and Legislative Advocacy
28,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
29,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
30,Evaluation of Social Issues
31,**New Frame Assigned: Cultural and Historical Significance of Tobacco Production**
32,8. Concern for Economic Impact Frame
33,Regulatory Compliance and Public Health Advocacy
34,Civil Rights Advocacy
35,Legislative and Political Actions
36,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
37,**New Frame Assigned: Food Assistance Program Integrity Issues**
38,**New Frame Assigned: Experience of Uncertainty and Lack of Awareness**
39,12. Civil Rights and Equality Frame
40,Economic Impact and Optimism
41,**New Frame Assigned: Culture Wars and Family Policy Conflicts**
42,**New Frame Assigned: Tragedy and Personal Loss in Leadership**
43,**New Frame Assigned: Uncertainty in Understanding Job Seekers**
44,**New Frame Assigned: Passenger Rights and Airline Accountability**
45,**New Frame Assigned: Economic Impact of Manufacturing Locations**
46,Smoking Policy Advocacy and Regulation
47,Social Issues Evaluation
48,**New Frame Assigned: Contextual Understanding of McLean**
49,**New Frame Assigned: Experience of Asian-American Job Seekers**
50,**New Frame Assigned: Immigration Context and Criminal Activity**
51,**New Frame Assigned: Personal Health and Lifestyle Choices**
52,**New Frame Assigned: Emotional Impact and Human Experience**
53,Smoking Advocacy and Regulation
54,Civil Rights and Social Justice
55,Legislative Actions and Political Advocacy
56,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
57,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
58,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
59,**New Frame Assigned: Economic Impact of Urban Sprawl**
60,**New Frame Assigned: Immigration Context and Economic Contributions**
61,12. Political and Legislative Actions
62,5. Regulatory Compliance Frame
63,**New Frame Assigned: Nontraditional Dynamics in Electoral Races**
64,5. Legislative Action Frame
65,**New Frame Assigned: Celebration of Immigration and Citizenship**
