doc_id,frames
1,Advocacy for Smokers' Rights
2,Historical Justice Frame
3,Security Frame
4,Anti-noncitizen voting frame
5,Regulatory Compliance Frame
6,Immigration and Family Separation Frame
7,Economic Optimism Frame
8,Justice frame
9,Legislative Action Frame
10,Labor Rights Frame
11,Political maneuvering and influence of religious groups
12,Civil Rights and Equality Frame
13,Political and Legislative Actions
14,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
15,Family Separation and Immigration Issues
16,Conflict and Compliance
17,Civil Rights and Justice
18,**New Frame Assigned: Definition and Scope of Small Business Ownership**
19,**New Frame: Celebration of Immigration and Citizenship**
20,**New Frame Assigned: Climate Impact and Weather Extremes**
21,**New Frame Assigned: Driving License Policies and Access Issues**
22,Smoking Policy Advocacy
23,Family Separation and Immigration Policy
24,Regulatory Compliance and Public Policy
25,24. **New Frame Assigned: Symbolic and Personal Relationship Celebration Frame**
26,5. Legislative Debate Frame
27,2. Smoking Ban Advocacy Frame
28,But there are signs next year could be too soon for another fight on this volatile and exhausting issue.
29,28. Legislative Actions on Immigration and Voting
30,Advocacy for Smoking Policies
31,Political and Legislative Advocacy
32,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
33,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
34,Economic Concerns and Impact
35,Family Separation and Immigration Context
36,Civil Rights and Justice Advocacy
37,Regulatory Compliance and Advocacy
38,Evaluation of Social Issues
39,**New Frame Assigned: Cultural and Historical Significance of Tobacco Production**
40,8. Concern for Economic Impact Frame
41,Regulatory Compliance and Public Health Advocacy
42,Civil Rights Advocacy
43,Legislative and Political Actions
44,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
45,Economic Impact and Concerns
46,**New Frame Assigned: Food Assistance Program Integrity Issues**
47,**New Frame Assigned: Experience of Uncertainty and Lack of Awareness**
48,**New Frame Assigned: Cultural and Historical Significance of Immigration and Ancestry**
49,12. Civil Rights and Equality Frame
50,New Frame Assigned: Political and Legislative Actions
51,8. Civil Rights and Justice
