doc_id,frames
1,Advocacy for Smokers' Rights
2,**Legal Inequality Frame**
3,Smoking Ban Advocacy Frame
4,Historical Justice Frame
5,Security Frame
6,Conflict Frame
7,Legislative Debate Frame
8,Anti-noncitizen voting frame
9,Regulatory Compliance Frame
10,Immigration and Family Separation Frame
11,Economic Optimism Frame
12,Concern for Economic Impact Frame
13,Justice frame
14,<neutral frame with an informational focus>
15,Legislative Action Frame
16,<neutral reporting frame>
17,Labor Rights Frame
18,Political maneuvering and influence of religious groups
19,Health and Lifestyle Frame
20,Policy Conflict Frame
