doc_id,frames
1,Advocacy for Smokers' Rights
2,Smoking Ban Advocacy Frame
3,Historical Justice Frame
4,Security Frame
5,Legislative Debate Frame
6,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
7,Anti-noncitizen voting frame
8,Regulatory Compliance Frame
9,Immigration and Family Separation Frame
10,Economic Optimism Frame
11,Concern for Economic Impact Frame
12,Justice frame
13,Legislative Action Frame
14,Labor Rights Frame
15,Political maneuvering and influence of religious groups
16,Policy Conflict Frame
17,Smoking Advocacy and Regulation
18,Civil Rights and Equality Frame
19,Political and Legislative Actions
20,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
21,Economic Impact Concerns
22,Family Separation and Immigration Issues
23,Conflict and Compliance
24,**New frame assigned to segment: Educational Enrollment and Demographics Frame**
25,Civil Rights and Justice
26,**New Frame Assigned: Definition and Scope of Small Business Ownership**
27,**New Frame: Celebration of Immigration and Citizenship**
28,**New Frame Assigned: Legal Proceedings and Immigration Compliance**
29,**New Frame Assigned: Symbolic and Personal Relationship Celebration Frame**
30,**New Frame Assigned: Climate Impact and Weather Extremes**
31,**New Frame Assigned: Driving License Policies and Access Issues**
32,Educational Enrollment and Demographics Frame
33,**Policy Conflict Frame**
