doc_id,frames
1,Advocacy for Smokers' Rights
2,Smoking Ban Advocacy Frame
3,Historical Justice Frame
4,Security Frame
5,Legislative Debate Frame
6,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
7,Anti-noncitizen voting frame
8,Regulatory Compliance Frame
9,Immigration and Family Separation Frame
10,Economic Optimism Frame
11,Concern for Economic Impact Frame
12,Justice frame
13,Legislative Action Frame
14,Labor Rights Frame
15,Political maneuvering and influence of religious groups
16,Civil Rights and Equality Frame
17,Political and Legislative Actions
18,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
19,Economic Impact Concerns
20,Family Separation and Immigration Issues
21,Conflict and Compliance
22,Civil Rights and Justice
23,**New Frame Assigned: Definition and Scope of Small Business Ownership**
24,**New Frame: Celebration of Immigration and Citizenship**
25,**New Frame Assigned: Legal Proceedings and Immigration Compliance**
26,**New Frame Assigned: Symbolic and Personal Relationship Celebration Frame**
27,**New Frame Assigned: Climate Impact and Weather Extremes**
28,**New Frame Assigned: Driving License Policies and Access Issues**
29,Smoking Policy Advocacy
30,Legislative Actions on Immigration and Voting
31,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
32,Family Separation and Immigration Policy
33,Political Influence and Advocacy
34,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
35,Regulatory Compliance and Public Policy
36,New Frame Assigned: Evaluation of Employment Dynamics and Societal Values
37,24. **New Frame Assigned: Symbolic and Personal Relationship Celebration Frame**
38,New Frame Assigned: Political Influence and Advocacy
39,5. Legislative Debate Frame
40,2. Smoking Ban Advocacy Frame
41,28. Legislative Actions on Immigration and Voting
