doc_id,frames
1,Security Frame
2,Justice frame
3,Labor Rights Frame
4,Political maneuvering and influence of religious groups
5,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
6,Conflict and Compliance
7,Evaluation of Social Issues
8,Legislative and Political Actions
9,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
10,Economic Impact and Optimism
11,Smoking Policy Advocacy and Regulation
12,Social Issues Evaluation
13,Legislative and Political Advocacy
14,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
15,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
16,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
17,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
18,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
19,Immigration and Family Separation
20,Economic Impact of Regulations
21,Social Justice and Civil Rights
22,Economic Impact and Social Justice
23,Civil Rights and Policy Advocacy
24,Immigration and Economic Engagement
25,Political and Legislative Advocacy
26,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
27,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
28,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
29,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
30,Social Justice and Economic Impact
31,Immigration Issues and Family Dynamics
32,Health Policy and Tobacco Regulation
33,New frame: Reflection on Personal and Familial Economic Progress
34,"New frame assigned to segment: ""Health Awareness and Resilience"""
35,Minority Rights and Advocacy
36,Economic Impact and Justice
37,Immigration and Social Dynamics
38,Workers' Rights and Social Justice
39,Tobacco Policy and Public Health Advocacy
40,Immigration and Family Dynamics
41,Economic Impact and Policy Advocacy
42,Political Advocacy and Legislation
43,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
44,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
45,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
46,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
47,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
48,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
49,28. Tobacco Policy and Public Health Advocacy
50,"new frame assigned to segment: ""Analysis of Diverging Perspectives"""
51,30. Economic Impact and Policy Advocacy
52,4. Political maneuvering and influence of religious groups
53,12. Immigration and Family Separation
