doc_id,frames
1,Security Frame
2,Justice frame
3,Labor Rights Frame
4,Economic Impact and Social Justice
5,Immigration and Economic Engagement
6,Social Justice and Economic Impact
7,Minority Rights and Advocacy
8,Immigration and Social Dynamics
9,Workers' Rights and Social Justice
10,Political Advocacy and Legislation
11,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
12,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
13,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
14,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
15,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
16,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
17,Immigration Issues and Economic Dynamics
18,We were told that October would be the soonest.
19,Immigrant Rights and Advocacy
20,4. Conflict and Compliance
21,6. Civil Rights and Policy Advocacy
22,New Frame (Health and Smoking Policy)
23,"New frame assigned to segment: ""Environmental Impact and Public Health"""
24,New Frame (Marriage Equality and Civil Rights)
25,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
26,Immigration Issues and Advocacy
27,Justice and Social Equity
28,New Frame (Religious Leadership and Social Issues)
29,Judicial Rulings on Workers' Rights
30,Political and Social Advocacy
31,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
32,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
33,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
34,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
35,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
36,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
37,Health Policies and Economic Impact
38,Social Justice Advocacy
39,"New frame assigned to segment: ""Future Planning and Societal Progress"""
40,27. Civil Rights and Marriage Equality
41,Immigration and Social Justice
42,Marriage and Civil Rights
43,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
44,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
45,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
46,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
47,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
48,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
49,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
50,Health and Public Policy
51,Political Advocacy and Social Policy
52,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
53,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
54,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
55,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
56,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
57,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
58,"But 13 Democrats voted for it, including Sen. Tom Daschle, the party leader seeking re-election in conservative South Dakota."
59,Civil Rights and Justice
60,2. Justice frame
61,"16. New frame assigned to segment: ""Environmental Impact and Public Health"""
62,New Frame (Environmental Impact and Public Health)
63,10. Political Advocacy and Legislation
64,26. Civil Rights and Marriage Equality
