doc_id,frames
1,Advocacy for Smokers' Rights
2,Security Frame
3,Regulatory Compliance Frame
4,Immigration and Family Separation Frame
5,Economic Optimism Frame
6,Justice frame
7,Legislative Action Frame
8,Labor Rights Frame
9,Political maneuvering and influence of religious groups
10,Conflict and Compliance
11,**New Frame: Celebration of Immigration and Citizenship**
12,**New Frame Assigned: Driving License Policies and Access Issues**
13,Regulatory Compliance and Public Policy
14,Advocacy for Smoking Policies
15,Political and Legislative Advocacy
16,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
17,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
18,Evaluation of Social Issues
19,**New Frame Assigned: Cultural and Historical Significance of Tobacco Production**
20,8. Concern for Economic Impact Frame
21,Regulatory Compliance and Public Health Advocacy
22,Civil Rights Advocacy
23,Legislative and Political Actions
24,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
25,**New Frame Assigned: Experience of Uncertainty and Lack of Awareness**
26,Economic Impact and Optimism
27,**New Frame Assigned: Tragedy and Personal Loss in Leadership**
28,**New Frame Assigned: Uncertainty in Understanding Job Seekers**
29,**New Frame Assigned: Passenger Rights and Airline Accountability**
30,**New Frame Assigned: Economic Impact of Manufacturing Locations**
31,Smoking Policy Advocacy and Regulation
32,Social Issues Evaluation
33,**New Frame Assigned: Experience of Asian-American Job Seekers**
34,**New Frame Assigned: Personal Health and Lifestyle Choices**
35,**New Frame Assigned: Emotional Impact and Human Experience**
36,Civil Rights and Social Justice
37,Legislative Actions and Political Advocacy
38,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
39,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
40,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
41,**New Frame Assigned: Immigration Context and Economic Contributions**
42,**New Frame Assigned: Nontraditional Dynamics in Electoral Races**
43,**New Frame Assigned: Celebration of Immigration and Citizenship**
44,Smoking Policy Advocacy
45,Regulatory Compliance and Public Health
46,**New Frame Assigned: Need for Accountability and Enforcement**
47,New Frame Assigned: Federalism and Constitutional Principles
48,12. Civil Rights and Justice
49,New Frame Assigned: Succession in Religious Leadership
50,New Frame Assigned: Worker Retirement Security and Pension Issues
51,**New Frame Assigned: Emotional Reaction to Policy Decisions**
52,Legislative and Political Advocacy
53,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
54,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
55,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
56,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
57,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
58,Immigration and Family Separation
59,Economic Impact of Regulations
60,Social Justice and Civil Rights
61,**New Frame Assigned: Community Involvement in Public Health Advocacy**
62,New Frame Assigned: Advocacy for Debt Forgiveness in Developing Nations
63,**New Frame Assigned: National Symbols and Identity**
