doc_id,frames
1,Security Frame
2,Justice frame
3,Labor Rights Frame
4,Conflict and Compliance
5,Evaluation of Social Issues
6,Legislative and Political Actions
7,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
8,Economic Impact and Optimism
9,Legislative and Political Advocacy
10,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
11,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
12,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
13,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
14,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
15,Economic Impact of Regulations
16,Social Justice and Civil Rights
17,Economic Impact and Social Justice
18,Civil Rights and Policy Advocacy
19,Immigration and Economic Engagement
20,Political and Legislative Advocacy
21,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
22,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
23,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
24,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
25,Social Justice and Economic Impact
26,Immigration Issues and Family Dynamics
27,Health Policy and Tobacco Regulation
28,New frame: Reflection on Personal and Familial Economic Progress
29,Minority Rights and Advocacy
30,Economic Impact and Justice
31,Immigration and Social Dynamics
32,Workers' Rights and Social Justice
33,Immigration and Family Dynamics
34,Political Advocacy and Legislation
35,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
36,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
37,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
38,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
39,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
40,"html"" target="" Ehrlich Urges Legislature To Debate Gay Marriage (Post, Jan. 31)"
41,4. Political maneuvering and influence of religious groups
42,12. Immigration and Family Separation
43,7. Economic Impact and Optimism
44,6. Legislative and Political Actions
45,Economic Impact and Compliance
46,10. Social Justice and Civil Rights
47,Immigration Issues and Economic Dynamics
